GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
521567,3.99,"Cake, Cookie & Cupcake Mixes",,45.0,g,0.1 BAKED SCONE (60G) | DRY MIX,,"UNBLEACHED ENRICHED FLOURS (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, SEMI-SWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT), CANOLA OIL (CANOLA OIL, ASCORBIC ACID [VITAMIN C] AND ROSEMARY EXTRACT ADDED TO PRESERVE FRESHNESS), PALM OIL, BUTTERMILK POWDER (MILK), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), NATURAL VANILLA POWDER, SALT, BAKING SODA."
524094,3.99,Breads & Buns,,85.0,g,3 ONZ,,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SPROUTED WHEAT BERRIES, RAISINS, WHEAT BRAN, HONEY, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: WHEAT GLUTEN, SALT, CULTURED DEXTROSE (FOR ADDED FRESHNESS), WHEAT FLOUR, MONOCALCIUM PHOSPHATE, WHEAT STARCH, YEAST, ASCORBIC ACID, CINNAMON, DISTILLED VINEGAR, ENZYMES (MICROBIAL), VEGETABLE MONOGLYCERIDES."
525121,2.29,Powdered Drinks,,28.0,g,3 Tbsp,,"CANE SUGAR, COCONUT OIL, MALTODEXTRIN, MATCHA GREEN TEA, WHOLE MILK POWDER, NON FAT MILK POWDER, MALTED MILK POWDER (BARLEY MALT, WHEAT FLOUR, MILK, BICARBONATE OF SODA, SALT), NATURAL FLAVORS, SODIUM CASEINATE (A MILK DERIVATIVE), TRICALCIUM PHOSPHATE, GUAR GUM, MONO AND DIGLYCERIDES, SILICON DIOXIDE, SALT."
531702,3.99,"Cake, Cookie & Cupcake Mixes",,57.0,g,7 Tbsp,,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, WHEY POWDER (MILK), TOASTED COCONUT (DESICCATED COCONUT, SUGAR, DEXTROSE, SALT), ORGANIC CORN FLOUR, EXPELLER PRESSED CANOLA OIL (ASCORBIC ACID AND ROSEMARY ADDED TO PRESERVE FRESHNESS), LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SODA), NON FAT DRY MILK, SEA SALT, EGG YOLK POWDER, BUTTERMILK POWDER (MILK), NATURAL VANILLA POWDER, NATURAL FLAVOR, AND EGG WHITE POWDER."
534062,4.49,Cookies & Biscuits,,28.0,g,2 COOKIES,,"ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (CREAM [MILK]), BROWN SUGAR, PUMPKIN PUREE, PALM SHORTENING, GLAZE ICING (POWDERED SUGAR, WATER), SUGAR, INVERT SUGAR, GLYCERINE, MOLASSES, CINNAMON, NUTMEG, SALT, CLOVE, BAKING POWDER."
536493,2.69,Yogurt,,150.0,g,5.3 ONZ,,"GRADE A PASTEURIZED SKIM MILK, COCONUT CREAM BASE (CANE SUGAR, MODIFIED CORNSTARCH, DRIED SHREDDED COCONUT, NATURAL COCONUT CREAM FLAVOR WITH OTHER NATURAL FLAVORS, CITRIC ACID), LIVE AND ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. CASEI. CULTURED AFTER PASTEURIZATION."
542326,2.99,Yogurt,,227.0,g,8 ONZ,,"ORGANIC GRADE A NON-HOMOGENIZED PASTEURIZED MILK, LIVE AND ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. CASEI. CULTURED AFTER PASTEURIZATION."
545198,4.49,Canned Meat,,15.0,g,1 Tbsp,,"COOKED APPLEWOOD SMOKED UNCURED BACON NO NITRATES OR NITRITES ADDED EXCEPT FOR THOSE NATURALLY OCCURRING IN CELERY POWDER (PORK BELLIES, WATER, SODIUM LACTATE, SALT, TURBINADO SUGAR, SPICE EXTRACTIVES [CINNAMON, CLOVE, CAPSICUM], CELERY POWDER), ONIONS, DARK BROWN SUGAR, APPLE CIDER VINEGAR, CANE SUGAR, GARLIC POWDER, PECTIN, CITRIC ACID (FOR FRESHNESS), VEGETARIAN FLAVOR (NATURAL FLAVOR [CONTAINS AUTOLYZED YEAST EXTRACT], SALT, NATURAL SMOKE FLAVOR), ORGANIC CARAMEL COLOR."
545488,3.99,"Cake, Cookie & Cupcake Mixes",,43.0,g,0.33 cup,,"WHITE SORGHUM FLOUR, POTATO STARCH, CANE SUGAR, TAPIOCA FLOUR, BUTTERMILK POWDER (MILK), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), EXPELLER PRESSED CANOLA OIL, SEA SALT, ORGANIC VANILLA FLAVOR, NATURAL FLAVORS, XANTHAN GUM."
550925,4.49,"Cakes, Cupcakes, Snack Cakes",,29.0,g,3 CRISPS,,"ORGANIC CANE SUGAR, FLOUR BLEND (GLUTEN-FREE OAT, GARBANZO/CHICKPEA, SORGHUM, TAPIOCA, FAVA AND POTATO STARCH FLOURS), ORGANIC SOY MILK (SOYBEANS, WATER, CARRAGEENAN), VEGAN CHOCOLATE CHIPS AND CHUNKS (SUGAR, UNSWEETENED CHOCOLATE, DEXTROSE, COCOA BUTTER, SOY LECITHIN [EMULSIFIER], NATURAL VANILLA EXTRACT), COCOA, PALM FRUIT OIL, SUNFLOWER OIL, SUNFLOWER LECITHIN, ORGANIC VANILLA EXTRACT EXPELLER PRESSED CANOLA OIL, BAKING SODA, POTASSIUM BITARTRATE, SALT, XANTHAN GUM, CALCIUM CARBONATE, CELLULOSE GUM. "
552707,3.49,"Popcorn, Peanuts, Seeds & Related Snacks",,42.0,g,0.25 cup,,"HONEY ROASTED COCOA CHILI PEANUTS (PEANUTS, SUGAR, HONEY, COCOA POWDER [PROCESSED WITH ALKALI], CANOLA OIL, CAYENNE PEPPER [CAYENNE PEPPER, SILICON DIOXIDE {ANTI-CAKING AGENT}], SALT, XANTHAN GUM), HONEY ROASTED COCOA CHILI ALMONDS (ALMONDS, SUGAR, HONEY, COCOA POWDER [PROCESSED WITH ALKALI], CANOLA OIL, CAYENNE PEPPER [CAYENNE PEPPER, SILICON DIOXIDE {ANTI-CAKING}], SALT, XANTHAN GUM), PECANS (PECANS, CANOLA OIL, SALT)."
555463,3.99,Salad Dressing & Mayonnaise,,30.0,g,2 Tbsp,,"EXTRA VIRGIN OLIVE OIL, BALSAMIC VINEGAR (CONTAINS SULFITES), THYME HONEY."
555500,3.99,Honey,,21.0,g,1 Tbsp,,"HONEY, BLACK SUMMER TRUFFLE PIECES, NATURAL MUSHROOM FLAVOR."
559300,3.29,Crackers & Biscotti,,30.0,g,7 CRACKERS,,"SOURDOUGH BREAD (UNBLEACHED ENRICHED FLOUR [WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], WATER, TOMATO PASTE, SALT, BASIL, SUNDRIED TOMATO), THREE CHEESE BLEND (PARMESAN CHEESE [CULTURED MILK, ANIMAL RENNET, SALT], ASIAGO CHEESE [CULTURED MILK, ANIMAL RENNET, SALT], WHITE CHEDDAR CHEESE [PASTEURIZED MILK, CHEESE CULTURES, SALT, ANIMAL RENNET]), BUTTER, GARLIC, WHITE PEPPER."
560740,2.69,Yogurt,,170.0,g,6 ONZ,,"ORGANIC CULTURED PASTEURIZED REDUCED FAT MILK, ORGANIC VANILLA BEAN BASE (ORGANIC CANE SUGAR, NATURAL FLAVOR, ORGANIC LOCUST BEAN GUM, PECTIN, ORGANIC VANILLA BEANS), LIVE ACTIVE CULTURES: L. ACIDOPHILUS, BIFIDUS, L. BULGARICUS, S. THERMOPHILUS, L. RHAMNOSUS. CULTURED AFTER PASTEURIZATION."
574747,1.69,"Oriental, Mexican & Ethnic Sauces",,60.0,g,0.25 cup,,"WATER, DEHYDRATED COCONUT MILK (COCONUT MILK, SODIUM CASEINATE [MILK]), RED CHILI PUREE, ONION, GARLIC, SUGAR, CANOLA OIL, SALT, CORNSTARCH, SPICES, GINGER, AUTOLYZED YEAST EXTRACT, ONION POWDER, EGG YOLKS, CITRIC ACID, NATURAL FLAVORS, XANTHAN GUM."
578790,2.49,Other Soups,,240.0,ml,1 cup,,"ORGANIC REDUCED FAT MILK, FILTER WATER, ORGANIC TOMATO PASTE, ORGANIC CANE SWEETENER (SUGAR), ORGANIC ROASTED RED PEPPER FLAVOR (ORGANIC RED PEPPERS, SEA SALT, ORGANIC BUTTER), ORGANIC ROASTED GARLIC, ORGANIC ROASTED RED PEPPERS, SEA SALT, SODIUM CITRATE, ORGANIC RICE FLOUR, ORGANIC GARLIC POWDER, ORGANIC ONION POWDER, ORGANIC SPICES."
598484,6.99,Chocolate,,50.0,g,1 BAR,,"SUGAR, COCOA BUTTER, WHOLE MILK POWDER, COCOA MASS, SOY LECITHIN, NATURAL VANILLA FLAVOR, COCOA SOLIDS 33% MIN, MILK SOLIDS 18% MIN."
598491,2.49,Chocolate,,50.0,g,1 BAR,,"COCOA MASS, SUGAR, COCOA BUTTER, SOY LECITHIN. COCOA SOLIDS 56% MIN."
599658,1.99,"Oriental, Mexican & Ethnic Sauces",,60.0,ml,0.25 cup,,"WATER, COCONUT MILK (COCONUT MILK, CORNSTARCH, GUAR GUM, XANTHAN. GUM. CARRAGEENAN), ANAHEIM PEPPER PUREE, TAMARI SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), CILANTRO, SERRANO PEPPER PUREE, CANE SUGAR, GINGER PUREE, LIME JUICE CONCENTRATE, ARROWROOT POWDER, SEA SALT, ORGANIC SHREDDED COCONUT, GARLIC, XANTHAN GUM, DRIED CORIANDER, DRIED CUMIN, DRIED LEMONGRASS, SHALLOTS, WHITE PEPPER."
670043,2.99,Cookies & Biscuits,,30.0,g,1.1 ONZ,,"UNBLEACHED WHEAT FLOUR, SUGAR, BUTTER (MILK), EGGS, SALT, AMMONIUM BICARBONATE."
710985,3.99,Frozen Appetizers & Hors D'oeuvres,,84.0,g,2 SAMOSAS,,"ENRICHED ALL PURPOSE WHEAT FLOUR (FLOUR, THIAMINE MONONITRATE, RIBOFLAVIN, NIACIN, FOLIC ACID, IRON [MAY CONTAIN AMYLASE], ASCORBIC ACID [VITAMIN C {DOUGH CONDITIONER}], WATER, DICED POTATOES, CARROTS, GREEN PEAS, CANOLA OIL, LENTILS, ONIONS, CILANTRO, SALT, PLAIN NONFAT YOGURT (SKIM MILK POWDER, WHEY PROTEIN, MODIFIED CORN STARCH, CARRAGEENAN, PECTIN, ACTIVE BACTERIAL CULTURE*, GARLIC, VINEGAR, SPICES, CITRIC ACID."
717175,2.99,Cheese,,113.0,g,0.5 cup,,"PASTEURIZED SKIM MILK*, NONFAT DRY MILK*, SALT, GRADE A WHEY, GRADE A LACTOSE, TITANIUM DIOXIDE (COLOR), GUAR GUM, CARRAGEENAN, CITRIC ACID, LOCUST BEAN GUM, LACTIC ACID, PHOSPHORIC ACID, NATURAL FLAVORS, CULTURED GRADE A SKIM MILK*, VITAMIN D3, VITAMIN A PALMITATE, ENZYMES."
740661,4.99,Breads & Buns,,28.0,g,1 ONZ,,"SPROUTED WHEAT GRAINS, OATS, RYE, BARLEY, CORN, RICE, MILLET, WHEAT FLOUR, WATER, HONEY, VITAL WHEAT GLUTEN, YEAST, MOLASSES, SALT."
772914,0.99,Yogurt,,227.0,g,1 CONTAINER,,"GRADE A PASTEURIZED MILK, CREAM, NONFAT MILK, FRUIT JUICE CONCENTRATES (PINEAPPLE, PEACH, APPLE, PEAR), WATER, APRICOTS, MANGOES, TAPIOCA STARCH, PECTIN, NATURAL FLAVOR, CITRIC ACID, LIVE AND ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, CULTURED AFTER PASTEURIZATION."
785570,3.49,"Oriental, Mexican & Ethnic Sauces",,60.0,g,0.25 cup,,"WATER. CANOLA OIL, SUGAR. DEHYDRATED COCONUT MILK (COCONUT, SODIUM CASEINATE [MILK]), GARLIC, ONION, COCONUT MILK, SALT, CONTAINS 2% OR LESS OF: GINGER, RED CHILI, CORNSTARCH, SPICES, CULTURED WHEY (MILK), ONION AND GARLIC POWDER, CITRIC ACID, CULTURED DEXTROSE, INULIN (CHICORY ROOT), NATURAL FLAVOR, XANTHAN GUM."
798587,3.49,Cheese,,28.0,g,1 ONZ,,"PASTEURIZED MILK, SALT CHEESE CULTURES, ENZYMES"
810760,2.99,Other Soups,,240.0,ml,,,"WATER, SWEET CORN, POTATOES, ONIONS, HONEY, ROASTED POBLANO PEPPERS, CILANTRO, SEA SALT, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL."
810807,4.49,Other Soups,,240.0,ml,,,"WATER, SWEET POTATOES, POTATOES, CARROTS, PARSNIPS, HONEY, ORGANIC EVAPORATED CANE SUGAR (NATURAL MILLED CANE SUGAR), SEA SALT, EXPELLER PRESSED CANOLA OIL, AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL."
815949,5.99,"Pepperoni, Salami & Cold Cuts",,56.0,g,,,"TURKEY BREAST, WATER, CONTAINS LESS THAN 2% OF SEA SALT, EVAPORATED CANE SYRUP, VINEGAR, CARRAGEENAN."
815963,5.99,"Pepperoni, Salami & Cold Cuts",,56.0,g,,,"TURKEY BREAST, WATER, CONTAINS LESS THAN 2% OF SEA SALT, EVAPORATED CANE SYRUP, VINEGAR, CARRAGEENAN."
