GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
35927,3.99,Canned Seafood,,63.0,g,,,"ALASKAN PINK SALMON, SALT."
38409,1.99,Canned Meat,,61.0,g,,,"WHITE CHICKEN, CHICKEN BROTH, SALT."
62176,3.49,Cream,,30.0,ml,,,"MILK, CREAM, MILK, CREAM."
212564,4.49,Cream,,15.0,ml,1 Tbsp,,"HEAVY CREAM, CARRAGEENAN (CONTAINS MILK). "
434652,3.99,Canned Meat,,71.0,g,0.33 cup,,"CHICKEN BREAST MEAT, WATER, SALT."
515337,2.79,Cheese,,30.0,g,2 Tbsp,,"PASTEURIZED CULTURED CREAM, PREPARED PUMPKIN, PASTEURIZED CULTURED SKIM MILK, BROWN SUGAR, SUGAR, CINNAMON, SALT, AND STABILIZERS (XANTHAN, LOCUST BEAN, AND GUAR GUM)."
868631,4.69,"Pepperoni, Salami & Cold Cuts",,56.0,g,,,"PORK, WATER, VINEGAR, KOSHER SALT, TURBINADO SUGAR, MOLASSES, *CELERY POWDER, SPICE EXTRACTIVES."
958363,1.99,Canned Tuna,,56.0,g,2 ONZ,,"SOLID WHITE TUNA, WATER, SALT"
41498112103,7.49,Other Meats,,112.0,g,4 ONZ,,GROUND BEEF.
